norad_id,epoch,bstar,mean_motion,mean_motion_dot,eccentricity,perigee_km,apogee_km,semi_major_axis_km,source_group,prev_epoch,prev_perigee,prev_sma,prev_bstar,hours_elapsed,perigee_rate_km_per_day,sma_rate_km_per_day,alt_band,mean_ap,activity_tau6h,activity_tau12h,activity_tau18h,activity_tau24h
2150,2026-08-23 20:32:29.934000+00:00,0.00029,12.640473,0.0000555,0.1382244,330.28647,2482.28,7784.4204,spacetrack,2026-08-22 14:08:40.120000+00:00,330.33978,7784.474,0.00026928,30.397170555555554,-0.042090759653497165,-0.042319728333050255,300-350,4.984921239105826,5.421680297711158,5.301148244581826,5.165690180891366,5.07399652104062
2150,2026-08-24 23:08:20.669000+00:00,0.00030035,12.640601,0.00005752,0.1382239,330.24518,2482.2166,7784.3677,spacetrack,2026-08-23 20:32:29.934000+00:00,330.28647,7784.4204,0.00029,26.597426388888888,-0.0372577401103011,-0.04755347308839033,300-350,5.821474174584664,8.440673360055527,6.852007827288323,6.327236691582963,6.062987035543861
2150,2026-08-25 20:02:13.100000+00:00,0.00032001,12.640706,0.00006133,0.1382254,330.1963,2482.1792,7784.3247,spacetrack,2026-08-24 23:08:20.669000+00:00,330.24518,7784.3677,0.00030035,20.8978975,-0.056135790693773197,-0.049382958261325924,300-350,4.832439416984943,3.4845929460555887,4.3095912204865785,4.676992874335808,4.852413613363839
2150,2026-08-26 20:44:03.817000+00:00,0.00030998,12.640826,0.00005945,0.1382249,330.15768,2482.1191,7784.2754,spacetrack,2026-08-25 20:02:13.100000+00:00,330.1963,7784.3247,0.00032001,24.69742138888889,-0.03752942404005471,-0.047907835452186964,300-350,2.961006950376972,3.2099483569303664,3.328033020772922,3.5391717659519255,3.740760319051077
2150,2026-08-27 21:25:54.218000+00:00,0.00034067,12.640951,0.00006537,0.1382233,330.12604,2482.0483,7784.224,spacetrack,2026-08-26 20:44:03.817000+00:00,330.15768,7784.2754,0.00030998,24.69733361111111,-0.03074663896750763,-0.04994871185008651,300-350,3.2779026494324324,3.6621781435999488,3.4860681395171365,3.4860995269113184,3.5500507950634836
2150,2026-08-28 20:13:45.051000+00:00,0.00034854,12.641054,0.00006693,0.1382245,330.08023,2482.0095,7784.1816,spacetrack,2026-08-27 21:25:54.218000+00:00,330.12604,7784.224,0.00034067,22.79745361111111,-0.04822643873983207,-0.044636564125325566,300-350,11.193142660072672,21.09683613349849,15.076617722155323,12.05820274635621,10.307077125271196
2150,2026-08-29 20:55:34.604000+00:00,0.00039507,12.641206,0.0000759,0.1382226,330.04163,2481.9243,7784.12,spacetrack,2026-08-28 20:13:45.051000+00:00,330.08023,7784.1816,0.00034854,24.697098055555557,-0.03751047989182616,-0.0598612839724869,300-350,20.24708926384997,16.570209917813504,16.972417819400967,16.384279150137058,15.390628642042692
2389,2026-08-23 21:57:58.029000+00:00,0.00044867,13.469207,0.00010049,0.1004693,333.93323,1833.2861,7461.7466,spacetrack,2026-08-22 13:52:42.729000+00:00,333.90616,7461.844,0.00040827,32.087583333333335,0.020247084152474386,-0.07285060939953367,300-350,5.030108816754144,5.649307729942534,5.458617862283267,5.303336098639627,5.199835213062722
2389,2026-08-24 21:08:24.452000+00:00,0.00043331,13.469393,0.00009701,0.1004575,333.95932,1833.1223,7461.6777,spacetrack,2026-08-23 21:57:58.029000+00:00,333.93323,7461.7466,0.00044867,23.174006388888888,0.027019928686153983,-0.0713558101372554,300-350,5.018776916756937,8.440673360055525,6.852007827288322,6.3272366915829625,6.062987035543863
2389,2026-08-25 22:05:47.073000+00:00,0.00048413,13.46961,0.00010833,0.1004438,333.98935,1832.9318,7461.5977,spacetrack,2026-08-24 21:08:24.452000+00:00,333.95932,7461.6777,0.00043331,24.95628361111111,0.028879299948305393,-0.07693453199672028,300-350,5.413103052725944,2.900451073239311,3.798540012508569,4.264031790324653,4.510992839072694
2389,2026-08-26 21:16:11.184000+00:00,0.00042942,13.469802,0.00009607,0.1004324,334.01062,1832.7687,7461.527,spacetrack,2026-08-25 22:05:47.073000+00:00,333.98935,7461.5977,0.00048413,23.17336416666667,0.022028739389279607,-0.07322199693585715,300-350,3.0473133360689935,3.127340115264291,3.2554690790533725,3.456293572865389,3.65312822672665
2389,2026-08-27 20:26:34.326000+00:00,0.00048744,13.469992,0.00010898,0.10042,334.04007,1832.599,7461.4565,spacetrack,2026-08-26 21:16:11.184000+00:00,334.01062,7461.527,0.00042942,23.173095000000004,0.030500889069842854,-0.07301571067634512,300-350,3.282963137494869,2.7943046488916865,3.056069619608645,3.211429059545123,3.3564485124332135
2389,2026-08-28 19:36:56.492000+00:00,0.00049169,13.470176,0.0001099,0.100409,334.06122,1832.4424,7461.3887,spacetrack,2026-08-27 20:26:34.326000+00:00,334.04007,7461.4565,0.00048744,23.17282388888889,0.02190496947775299,-0.07022018584345172,300-350,10.305883115046425,21.09683613349849,15.076617722155323,12.058202746356212,10.307077125271194
2389,2026-08-29 22:21:11.475000+00:00,0.00049639,13.470413,0.0001109,0.1003947,334.0891,1832.2393,7461.3013,spacetrack,2026-08-28 19:36:56.492000+00:00,334.06122,7461.3887,0.00049169,26.737495277777775,0.02502553036655191,-0.07845162675920551,300-350,19.851154937090374,12.804625735039764,14.766526558624347,14.943587220629139,14.40437293540913
4221,2026-08-23 21:04:49.248000+00:00,0.00046974,15.416784,0.00039395,0.0193171,309.42636,572.8843,6819.2925,spacetrack,2026-08-22 13:55:41.658000+00:00,309.52164,6819.5884,0.00047411,31.15210833333333,-0.0734049835578296,-0.22796530892912115,300-350,5.002579172677719,5.649307729942535,5.458617862283268,5.303336098639625,5.199835213062724
4221,2026-08-24 20:26:35.059000+00:00,0.00046043,15.417565,0.00038663,0.019291,309.37863,572.4717,6819.062,spacetrack,2026-08-23 21:04:49.248000+00:00,309.42636,6819.2925,0.00046974,23.362725277777777,-0.0490319509552095,-0.2367874438541599,300-350,4.996560903502851,4.1854555414987615,4.5303817283009,4.719554747049518,4.801891439197266
4221,2026-08-25 21:21:43.224000+00:00,0.00047022,15.418404,0.00039577,0.0192692,309.2849,572.0711,6818.815,spacetrack,2026-08-24 20:26:35.059000+00:00,309.37863,6819.062,0.00046043,24.91893472222222,-0.09027352192522778,-0.23789138926234613,300-350,5.558369776039896,2.9004510732393105,3.7985400125085684,4.264031790324653,4.510992839072694
4221,2026-08-26 22:16:46.669000+00:00,0.00045359,15.419211,0.00038221,0.0192423,309.23477,571.64496,6818.5767,spacetrack,2026-08-25 21:21:43.224000+00:00,309.2849,6818.815,0.00047022,24.917623611111114,-0.048283898126735045,-0.22952429530435942,300-350,3.0145281376874657,3.1273401152642895,3.255469079053372,3.456293572865388,3.6531282267266514
4221,2026-08-27 21:38:19.677000+00:00,0.00049472,15.419938,0.00041799,0.019221,309.16977,571.28125,6818.3623,spacetrack,2026-08-26 22:16:46.669000+00:00,309.23477,6818.5767,0.00045359,23.359168888888888,-0.06678319795624155,-0.2202818098739707,300-350,3.3115521090647637,3.6621781435999488,3.486068139517137,3.4860995269113184,3.550050795063484
4221,2026-08-28 20:59:48.737000+00:00,0.00050186,15.420673,0.00042477,0.0191987,309.10913,570.9082,6818.1455,spacetrack,2026-08-27 21:38:19.677000+00:00,309.16977,6818.3623,0.00049472,23.358072222222223,-0.062306511691330765,-0.22275810908116733,300-350,11.931887441719528,21.096836133498492,15.076617722155321,12.058202746356208,10.307077125271197
4221,2026-08-29 21:54:38.640000+00:00,0.00055421,15.421671,0.00047072,0.019171,309.00958,570.4197,6817.8516,spacetrack,2026-08-28 20:59:48.737000+00:00,309.10913,6818.1455,0.00050186,24.913861944444445,-0.09589842013762676,-0.2831194945095571,300-350,19.405873323332727,12.804625735039762,14.766526558624346,14.943587220629142,14.404372935409128
5118,2026-08-23 20:47:21.964000+00:00,0.00045426,15.765228,0.00072839,0.0013053,331.53168,349.07083,6718.4385,spacetrack,2026-08-22 14:19:16.668000+00:00,331.93634,6718.935,0.00040529,30.468137777777777,-0.3187539740969304,-0.3910970892581352,300-350,4.993088991618348,5.421680297711158,5.301148244581826,5.1656901808913664,5.073996521040618
5118,2026-08-24 21:09:41.424000+00:00,0.00042368,15.766612,0.00068307,0.001284,331.28214,348.53406,6718.045,spacetrack,2026-08-23 20:47:21.964000+00:00,331.53168,6718.4385,0.00045426,24.372072222222226,-0.24573043873300798,-0.38749269712865014,300-350,5.0749067295376555,8.440673360055525,6.852007827288322,6.327236691582963,6.062987035543862
